item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAIP5V4	0.5MM-8FT-STRIP-1 INCH-ALUM-ST-1	499	20	2025-12-22 11:36:59 IST		y	1			11				B0GBTRBYLR						B0GBTRBYLR			0	DEFAULT	497.0													Template								799.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6MPHFA	0.5MM-8FT-STRIP-1 INCH-BRASS-ST-1	899	10	2025-12-20 15:38:17 IST		y	1			11				B0G9Q6S44L						B0G9Q6S44L			0	DEFAULT	897.0													Template								1199.0
TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UTLRK	0.5MM-8FT-STRIP-1 INCH-COPPER-ST-1	899	10	2025-12-20 15:38:17 IST		y	1			11				B0G9RMJZ48						B0G9RMJZ48			0	DEFAULT	897.0													Template								1199.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UG694	0.5MM-8FT-STRIP-1 INCH-SS-ST-1	499	10	2025-12-20 15:38:18 IST		y	1			11				B0G9RGV9YC						B0G9RGV9YC			0	DEFAULT	497.0													Template								799.0
TREE MAISON CORONATING HOMES Vastu Set-5 of All Metal Strips | Width-0.75 Inch | Thickness -0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Vastu Metal Strips | Pack of 5	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0904AHD342I	0.75-INCH-ALL-VASTU-STRIP-SET-5	1349		2023-09-04 12:08:41 IST		y	1			11				B0CH84S39G						B0CH84S39G				AMAZON_IN	1349.0													Template								1999.0
TREE MAISON CORONATING HOMES Vastu Aluminium Strip | 0.75 INCH | Pack of 4 | Aluminium Strip for Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7B282Q	0.75IN-ALU-STRIP-.COM	799		2023-06-14 14:28:18 IST		y	1			11				B0C818ZPMF						B0C818ZPMF				AMAZON_IN	797.0													Template								1499.0
TREE MAISON CORONATING HOMES Vastu Brass Strip | 0.75 INCH | Pack of 4 | Brass Strip Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7KEAW0	0.75IN-BRASS-STRIP-.COM	1049		2023-06-14 14:28:18 IST		y	1			11				B0C818Y4K7						B0C818Y4K7				AMAZON_IN	1047.0													Template								1999.0
TREE MAISON CORONATING HOMES Vastu Copper Strip | 0.75 INCH | Pack of 4 | Copper Strip for Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0328H48CZKT	0.75IN-COPPER-STRIP-.COM	2249		2026-03-28 12:43:40 IST		y	1			11				B0C81C26MW						B0C81C26MW				AMAZON_IN	2249.0													Template								2999.0
TREE MAISON CORONATING HOMES Iron Strip | 0.75 INCH | Pack of 4 | Iron Strip for Vastu | Vastu Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0310HBOYO04	0.75IN-IRON-STRIP-.COM	799		2026-03-11 04:53:19 IST		y	1			11				B0C8188QVH						B0C8188QVH				AMAZON_IN	797.0													Template								1499.0
TREE MAISON CORONATING HOMES Vastu Stainless Steel Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Strip for Toilet Correction | Stainless Steel Strip for Vastu | Pack of 4	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7AZSHL	0.75IN-S.STEEL-STRIP-.COM	799	97	2023-06-14 14:28:18 IST		y	1			11				B0C81652RX						B0C81652RX			0	DEFAULT	797.0													Template								1100.0
TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx. | Zone Balancing |Toilet Correction | Aluminium Strip for Vastu | Pack of 2	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0312HGLGBPU	0.75INCH-ALU-STRIP-ST-2	399	93	2026-03-12 12:43:49 IST		y	1			11				B0BVHXD3BC						B0BVHXD3BC			0	DEFAULT	398.0													Template								999.0
TREE MAISON CORONATING HOMES Vastu Iron Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Vastu Remedies for Entrance, Toilet Correction | Iron Strip for Vastu | Pack of 2	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0211A8DO3NY	0.75INCH-IRON-STRIP-ST-2	399		2023-02-11 14:58:38 IST		y	1			11				B0BVHY1XY5						B0BVHY1XY5				AMAZON_IN	398.0													Template								1199.0
TREE MAISON CORONATING HOMES Vastu Set-5 of All Metal Strips | Width-1 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction | Vastu Metal Strips | Pack of 5	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0825AS6Y3EK	1 INCH ALL VASTU STRIP SET-5	1399		2023-08-25 17:26:53 IST		y	1			11				B0CGM617RZ						B0CGM617RZ				AMAZON_IN	1399.0													Template								2199.0
BRONGS Vastu Copper Strip | Width- 1 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Copper Strip for Vastu | Pack of 1		0927FCGL17X	1''-COPPER-8FT-STRIP-0.3MM	399	50	2025-09-27 13:32:57 IST		y	1			11				B09NPZ31RR						B09NPZ31RR			0	DEFAULT														Template								599.0
TREEMAISON Vastu Green Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Tape Remedy |Pack of 1		0927FCJLD26	1''-GREEN-TAPE	149	93	2025-09-27 13:28:15 IST		y	1			11				B09KXWYYGB						B09KXWYYGB			0	DEFAULT														Template								499.0
Shubh Sanket Vastu Aluminium Strip 1 inch (Mahavastu Remedies) (8 feet) (1 Strip Roll),Silver	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by pasting/install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1018YJAOB7B	1-INCH-ALUMINIUM-STRIP-ST1	299		2021-10-18 14:10:41 IST		y	1			11				B09DCJB7QV						B09DCJB7QV				AMAZON_IN	297.0													Migrated Template								999.0
TREE MAISON CORONATING HOMES Citirine Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal Pyramid for Positive, Meditation| Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6LZJ55	1-INCH-CITRINE-PYRAMID-ST-1	199	20	2025-12-10 16:47:12 IST		y	1			11				B0G6514K7H						B0G6514K7H			0	DEFAULT	197.0													Template								699.0
TREE MAISON CORONATING HOMES Citirine Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal | Crystal Pyramid for Positive, Meditation | Home & Office Decor |Pack of 3	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6YAOIN	1-INCH-CITRINE-PYRAMID-ST-3	649	19	2025-12-10 16:47:14 IST		y	1			11				B0G6587QJ2						B0G6587QJ2			0	DEFAULT	647.0													Template								999.0
TREE MAISON CORONATING HOMES Clear Quartz Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal Pyramid for Positive,Meditation | Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6V7OAU	1-INCH-CLEAR-QUARTZ-PYRAMID-ST-1	249		2025-12-10 16:47:13 IST		y	1			11				B0G64SKDGN						B0G64SKDGN				AMAZON_IN	247.0													Template								599.0
TREE MAISON CORONATING HOMES Clear Quartz Crystal Pyramid | 1 Inch | Vastu Correction & Reiki | Crystal Pyramid for Positive,Meditation| Home & Office Decor |Pack of 3	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6WB2ON	1-INCH-CLEAR-QUARTZ-PYRAMID-ST-3	499		2025-12-10 16:47:15 IST		y	1			11				B0G64ZNYT3						B0G64ZNYT3				AMAZON_IN	497.0													Template								999.0
TREE MAISON CORONATING HOMES Rose Quartz Crystal Pyramid | 1 Inch |Vastu Correction | Reiki Crystal Pyramid for Positive, Meditation| Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6YCGFQ	1-INCH-ROSE-QUARTZ-PYRAMID-ST-1	199		2025-12-10 16:47:13 IST		y	1			11				B0G64YK1TV						B0G64YK1TV				AMAZON_IN	197.0													Template								599.0
TREE MAISON CORONATING HOMES Rose Quartz Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal Pyramid for Positive, Meditation | Home & Office Decor |Pack of 3	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6VA5Y4	1-INCH-ROSE-QUARTZ-PYRAMID-ST-3	499	17	2025-12-10 16:47:14 IST		y	1			11				B0G64QG36F						B0G64QG36F			0	DEFAULT	497.0													Template								999.0
TREE MAISON CORONATING HOMES Vastu Blue Green Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 2	Based on direction and vastu consultant suggestions, choose the appropriate color tape (i.e Blue, Green, Yellow, Red, White ) . Vastu tape is a type of adhesive tape that is used in Vastu Shastra, a traditional Hindu system of architecture that seeks to harmonize buildings with the natural environment. In order to balance the affected zone, color tapes are pasted on the floor or on the skirting along the floor. Just like medical science, starts with accurate diagnosis of the problem. Color tape technique used to remove vastu faults in a building. Overall, Vastu tape is an interesting concept that is rooted in traditional Hindu beliefs about energy and balance in the environment.	0311HBNFJI8	1-INCH-TAPE-BLUE-GREEN-ST2	299		2026-03-11 06:41:20 IST		y	1			11				B0DY1MKVBW						B0DY1MKVBW				AMAZON_IN	299.0													Template								999.0
